model,trigger_name,trigger_value,epoch,average_loss,accuracy,correct_data,total_data
global,combine,,11,12.211429145057535,0.45718108831400533,41,8968
global,global_in_41_trigger,,11,12.694195857971083,0.423728813559322,38,8968
global,global_in_73_trigger,,11,12.647988824733766,0.44603033006244425,40,8968
global,global_in_51_trigger,,11,12.664938092125409,0.423728813559322,38,8968
global,global_in_74_trigger,,11,12.05448862019657,0.45718108831400533,41,8968
41,41_trigger,,12,115341.60911016949,35.325602140945584,3168,8968
global,combine,,12,0.8127933220603868,68.40990187332739,6135,8968
global,global_in_41_trigger,,12,0.8758850607034036,64.84165923282784,5815,8968
global,global_in_73_trigger,,12,0.8745546479186875,64.95316681534345,5825,8968
global,global_in_51_trigger,,12,0.8675422596144527,65.35459411239964,5861,8968
global,global_in_74_trigger,,12,0.8234341969243338,67.87466547725245,6087,8968
