model,epoch,average_loss,accuracy,correct_data,total_data
global,11,10.995113246893904,0.3902765388046387,35,8968
41,12,0.6737486533986788,71.08608385370205,6375,8968
global,12,8.506826706170823,0.735950044603033,66,8968
global,13,10.528491760342384,0.3902765388046387,35,8968
global,14,10.163880941168099,0.5909901873327387,53,8968
global,15,10.966629508985779,0.6801962533452275,61,8968
global,16,10.534090548301785,0.5575379125780553,50,8968
global,17,11.27544836270607,0.28991971454058874,26,8968
global,18,11.822495192528622,0.35682426404995543,32,8968
global,19,12.191041583147143,0.3010704727921499,27,8968
global,20,13.029195411198911,0.13380909901873325,12,8968
global,21,11.163084395967564,0.535236396074933,48,8968
global,22,11.179236479256431,0.1672613737734166,15,8968
global,23,13.05862693037974,0.06690454950936663,6,8968
global,24,11.353144515528411,0.6578947368421052,59,8968
global,25,12.372767535200298,0.12265834076717218,11,8968
global,26,11.518741251207908,0.3791257805530776,34,8968
global,27,12.466338155952338,0.10035682426404996,9,8968
global,28,11.913314936737414,0.31222123104371097,28,8968
global,29,13.118771886527805,0.14495985727029437,13,8968
global,30,12.095460820261865,0.14495985727029437,13,8968
global,31,12.949371203474442,0.13380909901873325,12,8968
global,32,12.981981115826105,0.12265834076717218,11,8968
global,33,13.047941975249019,0.22301516503122212,20,8968
global,34,12.426710889341575,0.1895628902765388,17,8968
global,35,13.079482234236814,0.12265834076717218,11,8968
global,36,13.425915118310199,0.14495985727029437,13,8968
global,37,12.333035736186073,0.23416592328278324,21,8968
global,38,13.911066712065534,0.08920606601248886,8,8968
global,39,12.140333846889364,0.6690454950936664,60,8968
global,40,13.441789564971515,0.08920606601248886,8,8968
global,41,13.308900108303373,0.211864406779661,19,8968
global,42,13.216612474712063,0.13380909901873325,12,8968
global,43,13.41801772087839,0.14495985727029437,13,8968
global,44,12.991497986663356,0.3010704727921499,27,8968
global,45,13.841900389073258,0.20071364852809992,18,8968
global,46,13.385602323207124,0.10035682426404996,9,8968
global,47,13.866560210296877,0.12265834076717218,11,8968
global,48,13.167628090898445,0.13380909901873325,12,8968
global,49,13.13178202980443,0.22301516503122212,20,8968
global,50,13.196957835759784,0.11150758251561106,10,8968
global,51,12.851349840836265,0.27876895628902765,25,8968
global,52,12.790681551440713,0.17841213202497772,16,8968
global,53,13.828636923185105,0.04460303300624443,4,8968
global,54,13.973422655348902,0.11150758251561106,10,8968
global,55,12.861094669610873,0.3679750223015165,33,8968
global,56,12.808795159039596,0.24531668153434436,22,8968
global,57,12.579984019208869,0.15611061552185548,14,8968
global,58,12.503097573313513,0.1895628902765388,17,8968
global,59,13.755946562611344,0.08920606601248886,8,8968
global,60,13.586833336223565,0.11150758251561106,10,8968
global,61,13.628819738723251,0.14495985727029437,13,8968
global,62,14.709405012581627,0.06690454950936663,6,8968
global,63,13.807171306899358,0.20071364852809992,18,8968
global,64,14.063719546124938,0.04460303300624443,4,8968
global,65,13.666617490477481,0.07805530776092774,7,8968
global,66,13.494028462351272,0.13380909901873325,12,8968
global,67,13.591777138790842,0.10035682426404996,9,8968
global,68,13.725329937624357,0.211864406779661,19,8968
global,69,12.63722662283415,0.20071364852809992,18,8968
